disease	mesh_id
pulmonary coccidioidomycosis	D003047
congenital protein c deficiency	D020151
purpura fulminans	D055665
nutritional deficiency	D044342
post	D050032
muscular and rheumatic pain	D010146
scalp dandruff	D063807
hemorrhagic episodes	D006474
hemophilia b	D002836
infant respiratory distress syndrome	D012127
cyclical mastalgia	D059373
dental pulp sedation	D003789
inflammatory processes	D009187
respiratory or urinary infections	D012141
autoimmune conditions	D001327
onchocerca volvulus	D009855
burns and wounds	D002056
lysosomal acid lipase (lal) deficiency	D015223
small lymphocytic lymphoma	D015451
orthopedic, traumatic and rheumatologic disorders	D040921
painful muscle contractures	C536703
spinal pathology	D001927
contractures	D003286
soreness	D063806
compensated liver cirrhosis	D005355
bronchial congestion	D001994
acute infectious dental diseases	D003141
non small cell lung cancer	D002289
genomic abnormalities	D002526
egfr and alk abnormalities	D002526
advanced metastatic colorectal cancer	D009362
hereditary antithrombin deficiency	D020152
peri-partum thromboembolism	D013923
bone or cranial surgery	D014394
rabies virus	D011818
inflammation of the oral and pharyngeal mucosa	D010612
furunculosis	D005667
acquired hemophilia a	C536392
haemophilia b	D002836
congenital factor ix deficiency	D002836
dry eye syndrome	D015352
chicken pox (varicella zoster virus) infections	D002644
varicella zoster virus	D006562
soft tissue sarcoma of the limbs	D012509
hepatitis a and non-a non-b hepatitis viruses	D006526
hepatitis d	D003699
hepatitis b infection	D019694
thalassemia	D013789
sexually transmitted disease	D012749
advanced squamous cell carcinoma of the head and neck	C535575
digestive malabsorption	C536239
congenital chronic cholestasis	C537627
hereditary chronic cholestasis	C537262
plasmodium falciparum*	D008288
degenerative disc disease	D055959
lambert-eaton myasthenic syndrome	D015624
lems	D015624
advanced or transitional cell carcinoma of the urothelial tract	D002295
transthyretin-mediated amyloidosis	D000686
neurofibromatosis type 1	D009456
plexiform neurofibromas	D018318
pn	C565820
unresectable non-small cell lung cancer	D002289
focal segmental glomerulosclerosis	C537923
travallers' diarrhea	D004403
psoriatic erythroderma	D003873
-1 infection	D007239
treatment-resistant depression	D061218
diabetes type 2	D003924
insulin deficiency	D001361
cushing's disease	D047748
septic or other distributive shock	D012772
airflow limitation	D029424
postpartum depression	D019052
ppd	C564818
castration-resistant prostate cancer	D064129
metastatic merkel cell carcinoma	D015266
lymphocyte leukemia	D007945
lymphocytic leukemia	D007945
b-cell lymphoma	D016393
metastatic ros1-positive non-small cell lung cancer	D002289
chagas disease	D014355
osteoarthritis affecting the hip or knee	D015207
itp	D016553
smallpox infection	D007239
cytomegalovirus (cmv) infection	D003586
carcinoid syndrome	D008303
alzheimer	D000544
progressive supranuclear palsy	D013494
alzheimer disease	D000544
nerve trauma	D061221
oral corticosteroid dependent asthma	D001249
status asthmaticus	D013224
huntington s disease	D000755
acute ischemic stroke	D020521
fascioliasis	D005211
thermal burns	D002056
nsclc cancer	D002289
neurogenic bladder	D001750
beta thalassemia	D017086
verruca vulgaris	D014860
mucopolysaccharidosis vii	D016538
mps vii	D016538
sly syndrome	D016538
relapsing-remitting disease	D004194
acute bacterial skin and skin structure infections	D013207
ebola	D019142
mf	D009182
sezary syndrome	D012751
ss	D012859
esophagitis	D004935
hiatus hernia	D006551
sclc	D055752
hcl	D007943
splenomegaly	D013163
hepatomegaly	D006529
mdr hiv	D000163
beta thalassaemia	D017086
community-acquired bacterial pneumonia	D018410
pku	D010661
inherited disorder	D030342
deficiency	D003677
von willebrand factor	D001606
autosomal recessive inherited disorder	D030342
metastatic triple-negative breast cancer	D064726
sprains and strains	D013180
sporting injuries	D001265
low back pain	D017116
non-metastatic and castrate-resistant prostate cancer	C537243
tgct	C563236
neurological and psychiatric disorders	D009422
ulcerative oral mucositis	D013280
misfunction of the von willebrand factor	D001606
congenital agranulocytosis	C537592
kostmann's syndrome	C537592
head and neck cancers	D006258
factor x deficiency	D005171
congenital hemophilia a or b	D002836
acquired hemophilia	C536392
vii deficiency	D005168
glanzmann's thrombasthenia	D013915
refractory bleeding	D006470
intracerebral hemorrhage	D002543
factor ix deficiency	D002836
mucocutaneous infections due to	D007239
itchiness	D011537
erythema	D004890
sjogren's syndrome	D012859
spinal muscular atrophy	D009134
sma	D009134
rheumatology	D003095
painful	D010146
arthritic pathologies	D001168
neuronal ceroid lipofuscinosis type 2 (cln2) disease	D009472
cln2 disease	D004194
batten disease	D009472
inherited neurodegenerative disorder	D019636
ataxia	D001259
blindness	D001766
polycystic ovaries	D011085
psychiatric disorder	D001523
cerebrovascular diseases	D002561
cardiovascular conditions	D002318
classical hemophilia	D006467
clotting abnormality	D001778
deficiency of the	D001361
gastrointestinal conditions	D005767
myeloid leukaemia	D007951
canker sore	D013281
dry eye	D015352
intestinal amoebiasis	D004404
protozoan infections	D011528
parasitic diseases	D010272
acute sore throat	D010612
poisoning	D011041
cerebral and peripheric vascular events	D020521
atopic eczema	D003876
inflammatory dermatoses	D012871
inflammation of the cornea in the eye	D003316
herpes simplex virus infection	D006561
corneal blindness	D001766
dermal herpes simplex virus	D020803
skin and soft tissue infections	D018461
gastric reflux	D057045
heartburn of pregnancy	D006356
gastric distress	D018589
stomach conditions	D013272
respiratory viral infections	D012141
foot-and-mouth disease	D005536
sars-cov-2 infections	D045169
potassium deficiency	D011191
viral infections	D014777
stomach diseases	D013272
lactose intolerance	D007787
rheumathoid arthritis	D001168
inflammatory soft-tissue rheumatism syndrome	D012213
parkinsonian syndromes	D020734
ps	D011666
cholecystitis	D002764
gallstone	D002769
acute/chronic hepatitis	D006505
pruritic dermatoses	D012871
chronic hepatitis c virus (hcv) genotype 1, 2, 3, 4, 5 or 6 infection	D006526
pains in muscles, tendons, and joints	D059390
bleeds into the joints and muscles	D007593
crotalid envenomation	D012909
bone, brain, lung, or other visceral diseases	D004194
scorpion envenomation	D012909
first- and second-degree burns	D002056
mouth and throat infections	D007239
neuroendocrine tumors	D018358
epithelial defect	D003117
corneal ulcer	D003320
retinal dystrophy	D058499
leber's congenital amaurosis	D057130
retinal degeneration	D012162
testicular failure	D005058
cryptorchidism	D003456
orchitis	D009920
lhrh deficiency	C565870
pituitary-hypothalamic injury	D014947
radiation	D011832
absence of endogenous testosterone	D013226
gonadotropin or luteinizing hormone-releasing hormone deficiency	C565870
advanced inoperable metastatic mammary cancer	D009362
hypogonadal conditions	D007006
urinary	D014570
energy deficiency	D001361
waldmann disease	C536567
intestinal dysbacteriosis	D064806
type iv hypertriglyceridemia	D009081
heart diseases	D006331
factor deficiencies	D006467
hemorrhages	D006470
thrombotic thrombocytopenic purpura	D011697
menstrual dysfunction	D007172
somatostatin receptor-positive gastroenteropancreatic neuroendocrine tumors	D018358
foregut, midgut, and hindgut neuroendocrine tumors	D018358
teeth hypersensitivity	D018366
hemorrhagic	D006474
classic hemophilia	D006467
factor viii deficiency	D006467
chronic diseases	D002908
muscle cramps	D009120
cracked skin	D054705
denture sore spots	D013282
infant teething	D006177
x-linked hypophosphatemia	D063730
bone disease	D001847
pyelitis	D011702
foreign bodies	D005547
episodic cluster headaches	D003027
rett syndrome	D015518
eczema vaccinatum	D007617
vaccinia infections	D007239
eczematous skin lesions	D004485
vaccinia	D014615
isolated keratitis	D007634
vaccinia infection	D007239
herpes simplex virus-2	D006561
factor viii (fviii) deficiency	D006467
hypokalemic familial periodic paralysis	D020514
rta	D000141
nephrolithiasis	D007669
deficiency syndromes	D003677
crohn'	D003424
bronchogenic carcinomas	D002283
hereditary transthyretin-mediated amyloidosis	D028227
autosomal dominant disorder	D030342
c1 deficiency	D054179
subcutaneous or submucosal edema in the face, larynx, gi tract, limbs or genitalia	C536387
digitalis toxicity	D064420
allergic states	D006967
dermatologic diseases	D012871
edematous states	D004487
hematologic disorders	D006402
ophthalmic diseases	D005128
nervous system conditions	D009422
subarachnoid block	D005184
smallpox disease	D012899
ada-scid	C531816
polyneuropathy	D011115
hemophagocytic lymphohistiocytosis	D051359
hlh condition	D012734
enlarged liver or spleen	D013163
hematologic malignancy	D019337
insulin-like growth factor (igf) deficiency	C563867
igf-1 deficiency	C563867
adipose redistribution syndrome	D013577
nonprogressive blastomycosis of the skin and other mycoses	D009181
daytime sleepiness	D053207
airway obstruction	D000402
apnea	D001049
ebola virus	D019142
advanced gastrointestinal stromal tumor	D046152
tau neurofibrillary tangles	D055956
chronic traumatic encephalopathy	D020208
gastrointestinal stromal tumors	D046152
sickle cell diseases	D000755
psychoneurotic conditions	D009497
somatostatin receptor positive neuroendocrine tumors	D018358
appendix cancer	D001063
ebola zaire	D019142
ebola virus disease	D019142
influenza a and b infections	D007239
sars-cov infections	D045169
estrogen receptor-positive lesions	D001943
10p deletion syndrome (partial)	C538288
13q deletion syndrome	C535484
15q24 microdeletion	C579849
16p11.2 deletion syndrome	C579850
17,20-lyase deficiency, isolated	C567076
17-hydroxysteroid dehydrogenase deficiency	C537805
18-hydroxylase deficiency	C537806
22q11 deletion syndrome	D058165
2,4-dienoyl-coa reductase deficiency	C565624
2-aminoadipic 2-oxoadipic aciduria	204750
2-hydroxyethyl methacrylate sensitization	C535305
2-hydroxyglutaricaciduria	C535306
2-methylacetoacetyl coa thiolase deficiency	C535307
2-methylbutyryl-coa dehydrogenase deficiency	C566487
3b-hydroxysteroid dehydrogenase deficiency	C579862
3c syndrome	C535313
3-hydroxy-3-methylglutaryl-coa lyase deficiency	C538324
3-hydroxy-3-methylglutaryl-coa synthase 2 deficiency	C567784
3-hydroxyacyl-coa dehydrogenase deficiency	C535310
3-hydroxyisobutyric aciduria	C535312
3-methylcrotonyl coa carboxylase 1 deficiency	C535308
3-methylcrotonyl coa carboxylase 2 deficiency	C535309
3-methylglutaconic aciduria	C579867
3-methylglutaconic aciduria, type i	C562801
3-methylglutaconic aciduria type iv	C565393
3-methylglutaconic aciduria, type v	C565706
3-methylglutaconic aciduria, type vii	616271
3-methylglutaconic aciduria, type viii	617248
3-methylglutaconic aciduria with deafness, encephalopathy, and leigh-like syndrome	614739
46, xx disorders of sex development	D058489
46,xx gonadal dysgenesis epibulbar dermoid	C535316
46,xx gonadal dysgenesis, partial or complete, autosomal	C567597
46,xx sex reversal 1	400045
46,xx sex reversal 2	278850
46,xx sex reversal 3	300833
46,xx sex reversal with dysgenesis of kidneys, adrenals, and lungs	611812
46, xx testicular disorders of sex development	D058531
46, xy female	C536769
46,xy gonadal dysgenesis, complete or partial, dhh-related	C565537
46,xy gonadal dysgenesis, complete, sry-related	C567574
46,xy gonadal dysgenesis, partial, with minifascicular neuropathy	C567773
46,xy sex reversal 1	400044
46,xy sex reversal 10	616425
46,xy sex reversal 4	C567887
46, xy sex reversal 5	C567766
46,xy sex reversal 6	613762
46,xy sex reversal 9	616067
46,xy true hermaphroditism, sry-related	C567575
47, xyy syndrome	C535317
49,xxxxx syndrome	C535319
4-hydroxyphenylacetic aciduria	C535315
5 alpha fluorouracil toxicity	C531667
5-hydroxytryptamine oxygenase regulator	143460
5-nucleotidase syndrome	C535321
5-oxoprolinase deficiency	C535322
6-phosphogluconolactonase deficiency	C566803
6-pyruvoyl-tetrahydropterin synthase deficiency	C535325
6q24-related transient neonatal diabetes mellitus	C579872
6q+ syndrome, partial	C537810
7p2 monosomy syndrome	C537818
9q22.3 microdeletion	C579873
aagenaes syndrome	C535330
aarskog syndrome	C535331
aarskog syndrome, autosomal dominant	100050
aase smith syndrome	C535332
aase smith syndrome 2	C538442
abc disease	C579754
abcd syndrome	C535334
abderhalden-kaufmann-lignac syndrome	C535335
abdomen, acute	D000006
abdominal abscess	D018784
abdominal chemodectomas with cutaneous angiolipomas	C535552
abdominal cystic lymphangioma	C535553
abdominal injuries	D000007
abdominal neoplasms	D000008
abdominal obesity metabolic syndrome	C535554
abdominal obesity-metabolic syndrome 1	605552
abdominal obesity-metabolic syndrome 3	615812
abducens nerve diseases	D020434
abducens nerve injury	D020222
aberrant crypt foci	D058739
aberrant subclavian artery	C535555
abetalipoproteinemia neuropathy	C540309
abidi x-linked mental retardation syndrome	C535556
ablepharon macrostomia syndrome	C535557
abnormal fusion of dental cementum with alveolar bone	C536375
abnormalities, drug-induced	D000014
abnormalities, multiple	D000015
abnormalities, radiation-induced	D000016
abnormalities, severe teratoid	D009008
abnormal karyotype	D059786
abortion, habitual	D000026
abortion, incomplete	D000027
abortion, missed	D000030
abortion, septic	D000031
abortion, spontaneous	D000022
abortion, threatened	D000033
abortion, veterinary	D000034
abrikosov's tumor	C535558
abruptio placentae	D000037
abruzzo erickson syndrome	C535559
abscess	D000038
absence of septum pellucidum	C535562
absence of tibia	C535563
absence of tibia with polydactyly	C535564
absent breasts and nipples	C535565
absent corpus callosum cataract immunodeficiency	C535566
absent duct of santorini	C535567
absent eyebrows and eyelashes with mental retardation	C563111
absent patella	C535568
absent radii and thrombocytopenia	C536940
absidia corymbifera infection	C000656947
abuse dwarfism syndrome	C535569
acalculous cholecystitis	D042101
acalvaria	C535570
acanthamoeba keratitis	D015823
acanthocheilonemiasis	D063485
acantholysis	D000051
acanthoma	D049309
acanthosis nigricans	D000052
acanthosis nigricans muscle cramps acral enlargement	C536000
acatalasia	D020642
accelerated idioventricular rhythm	D016170
accessory atrioventricular bundle	D058606
accessory deep peroneal nerve	C536001
accessory navicular bone	C536002
accessory nerve diseases	D020436
accessory nerve injuries	D061227
accessory pancreas	C536003
accidental injuries	D000081084
accutane embryopathy	C535670
acetylcarnitine deficiency	C536006
acetyl-coa carboxylase deficiency	C562678
achalasia addisonianism alacrimia syndrome	C536008
achalasia, familial esophageal	C536011
achalasia microcephaly	C536010
achard syndrome	C536012
achard-thiers syndrome	C536013
acheiropodia	C536014
achlorhydria	D000126
acholinesterasemia	C566750
achondrogenesis	C579878
achondrogenesis type 1a	C536015
achondrogenesis type 1b	C536016
achondrogenesis type 2	C536017
achondrogenesis, type 3	C536018
achondrogenesis, type 4	C536019
achondroplasia	D000130
achondroplasia and swiss type agammaglobulinemia	C536020
achondroplastic dwarfism	C531599
achromatopsia 1	C536021
achromatopsia 2	C536128
achromatopsia 3	C536129
achromatopsia 4	C564206
achromatopsia 5	C567759
achromatopsia 7	616517
achromatopsia incomplete, x-linked	C538165
acid-base imbalance	D000137
acidemia, isovaleric	C538167
acid-labile subunit deficiency	615961
acidosis, lactic	D000140
acidosis, renal tubular	D000141
acidosis, respiratory	D000142
acid phosphatase deficiency	C562645
acinetobacter infections	D000151
acitretin embryopathy	C538169
ackerman syndrome	C538170
acne, adult	C565791
acne conglobata	D000069316
acneiform eruptions	D017486
acne keloid	D000153
acquired agranulocytosis	C538171
acquired amegakaryocytic thrombocytopenia	C538172
acquired angioedema	C538173
acquired cjd	C538481
acquired hyperostosis syndrome	D020083
acquired hypoprothrombinemia	C538174
acquired ichthyosis	C538175
acquired protein s deficiency	C567077
acquired pure megakaryocytic aplasia	C538176
acrocallosal syndrome	D055673
acrocallosal syndrome, schinzel type	C538177
acrocapitofemoral dysplasia	C564334
acrocephalopolydactylous dysplasia	C573722
acrocephalopolysyndactyly type ii	C563187
acrocephalosyndactylia	D000168
acrodermatitis	D000169
acrodermatitis enteropathica	C538178
acrodynia	D000170
acrodysostosis	C538179
acrodysplasia scoliosis	C538180
acrodysplasia with ossification abnormalities, short stature, and fibular hypoplasia	C538181
acrofacial dysostosis catania form	C538182
acrofacial dysostosis, cincinnati type	616462
acrofacial dysostosis, nager type	C538184
acrofacial dysostosis, palagonia type	C538185
acrofacial dysostosis rodriguez type	C538183
acrofrontofacionasal dysostosis syndrome	C538186
acrogeria, gottron type	C538187
acrokeratoderma, hereditary papulotranslucent	C566323
acrokeratoelastoidosis of costa	C535653
acroleukopathy, symmetric	C566322
acromegaloid facial appearance syndrome	C535655
acromegaloid features, overgrowth, cleft palate, and hernia	C535656
acromelic frontonasal dysostosis	C566345
acromelic frontonasal dysplasia	C535657
acromesomelic dysplasia	C535658
acromesomelic dysplasia campailla-martinelli type	C535659
acromesomelic dysplasia, hunter-thompson type	201250
acromesomelic dysplasia, maroteaux type	C535661
acromicric dysplasia	C535662
acro-osteolysis	D030981
acroosteolysis dominant type	C535663
acrootoocular syndrome	C564866
acropectoral syndrome	C535664
acropectorovertebral dysplasia	102510
acropectorovertebral dysplasia, f-form	C566319
acrorenal mandibular syndrome	C535665
acrorenal syndrome	C563159
acrorenal syndrome recessive	C535666
acrospiroma	D018250
acth deficiency, isolated	C562707
acth-independent macronodular adrenal hyperplasia	C565662
acth-secreting pituitary adenoma	D049913
acth syndrome, ectopic	D000182
actin-accumulation myopathy	C579880
actinic cheilitis	C535669
actinic prurigo	C566780
actinobacillosis	D000187
actinobacillus infections	D000189
actinomycetales infections	D000193
actinomycosis	D000196
actinomycosis, cervicofacial	D000197
activated pi3k-delta syndrome	C585640
activated protein c resistance	D020016
acute brachial neuritis	C538620
acute cerebral gaucher disease	C531689
acute chest syndrome	D056586
acute cholinergic dysautonomia	C535672
acute coronary syndrome	D054058
acute disease	D000208
acute erythroleukemia	C535673
acute fatty liver of pregnancy	C537957
acute febrile encephalopathy	D000071072
acute flaccid myelitis	C000629404
acute generalized exanthematous pustulosis	D056150
acute kidney injury	D058186
acute malaria	C531736
acute-on-chronic liver failure	D065290
acute-phase reaction	D000210
acute retroviral syndrome	D000071297
acute rheumatism	C538407
acute tubulointerstitial nephritis	C564356
acute zonal occult outer retinopathy	C538223
acyl-coa dehydrogenase family, member 9, deficiency of	C567006
adactylia, unilateral	C562417
adamantinoma	D050398
adamantinoma of long bones	C562741
adams nance syndrome	C538224
adams oliver syndrome	C538225
adams-stokes syndrome	D000219
addison disease	D000224
adducted thumbs syndrome	C562949
adenine nucleotide translocator deficiency	C566309
adenine phosphoribosyltransferase deficiency	C538228
adenoameloblastoma	C538229
adenocarcinoid tumor	C538230
adenocarcinoma, bronchiolo-alveolar	D002282
adenocarcinoma, clear cell	D018262
adenocarcinoma, follicular	D018263
adenocarcinoma in situ	D065311
adenocarcinoma, mucinous	D002288
adenocarcinoma of esophagus	C562730
adenocarcinoma of lung	D000077192
adenocarcinoma, papillary	D000231
adenocarcinoma, scirrhous	D002293
adenocarcinoma, sebaceous	D018266
adenofibroma	D000232
adenolymphoma	D000235
adenoma	D000236
adenoma, acidophil	D000239
adenoma, basophil	D000237
adenoma, bile duct	D002759
adenoma, chromophobe	D000238
adenoma, islet cell	D007516
adenoma, liver cell	D018248
adenoma, oxyphilic	D018249
adenoma, pleomorphic	D008949
adenoma, sweat gland	D006607
adenomatoid tumor	D018254
adenomatosis, pulmonary	D018255
adenomatous polyposis coli	D011125
adenomatous polyposis coli, attenuated	C566778
adenomatous polyps	D018256
adenoma, villous	D018253
adenomyoepithelioma	D055331
adenomyoma	D018194
adenomyosis	D062788
adenophorea infections	D017188
adenosarcoma	D018195
adenosarcoma of the uterus	C538232
adenosine deaminase, elevated, hemolytic anemia due to	C566314
adenosine monophosphate deaminase deficiency	C538234
adenosine triphosphatase deficiency, anemia due to	C566311
adenosine triphosphate, elevated, of erythrocytes	C566310
adenoviridae infections	D000257
adenovirus infections, human	D000258
adenylate kinase deficiency, hemolytic anemia due to	C567228
adenylosuccinate lyase deficiency	C538235
adiaspiromycosis	C000656784
adie syndrome	D000270
adiponectin, serum level of, quantitative trait locus 2	606770
adiponectin, serum level of, quantitative trait locus 3	606771
adiposis dolorosa	D000274
adjustment disorders	D000275
adnexal diseases	D000291
adrenal cortex diseases	D000303
adrenal cortex neoplasms	D000306
adrenal gland diseases	D000307
adrenal gland neoplasms	D000310
adrenal hyperplasia 2	C538236
adrenal hyperplasia, congenital	D000312
adrenal hyperplasia, congenital, type 5	C538237
adrenal hypoplasia, congenital, with absent pituitary luteinizing hormone	C565976
adrenal hypoplasia, congenital, with precocious puberty	C564568
adrenal incidentaloma	C538238
adrenal insufficiency, congenital	C566130
adrenal insufficiency, congenital, with 46,xy sex reversal	C566131
adrenal rest tumor	D000314
adrenocortical adenoma	D018246
adrenocortical carcinoma	D018268
adrenocortical carcinoma, hereditary	C565972
adrenocortical carcinoma, pediatric	C565973
adrenocortical hyperfunction	D000308
adrenocortical hypofunction, chronic primary congenital	C562711
adrenocortical unresponsiveness to acth with postreceptor defect	C565971
adrenocorticotropic hormone deficiency	C535668
adrenogenital syndrome	D047808
adrenoleukodystrophy	D000326
adrenomyodystrophy	C538051
adult i blood group with congenital cataract	C566214
adult-onset citrullinemia type 2	C538053
advanced sleep-phase syndrome, familial	C565789
aerobic actinomyces infection	C538054
aerophagy	D000334
affective disorders, psychotic	D000341
afferent loop syndrome	D000343
african hemochromatosis	C579887
african horse sickness	D000355
african swine fever	D000357
agammaglobulinemia	D000361
agammaglobulinemia 7, autosomal recessive	615214
agammaglobulinemia, microcephaly, and severe dermatitis	C538055
agammaglobulinemia, non-bruton type	C538056
agammaglobulinemia, non-bruton type, autosomal dominant	C563305
agammaglobulinemia, x-linked, type 2	C538057
aganglionosis, total intestinal	C538058
agenesis of cerebellar vermis	C536293
agenesis of corpus callosum	D061085
age-related hearing impairment 1	C567305
ageusia	D000370
aggressive periodontitis	D010520
aging, premature	D019588
agnathia-microstomia-synotia	C538059
agnosia	D000377
agonadism, xy, with mental retardation, short stature, retarded bone age, and multiple extragenital malformations	C563429
agranulocytosis	D000380
agraphia	D000381
agricultural workers' diseases	D000382
aicardi-goutieres syndrome	C535607
aicardi-goutieres syndrome 3	C563683
aicardi-goutieres syndrome 4	C563681
aicardi-goutieres syndrome 5	C535608
aicardi syndrome	D058540
aicar transformylase inosine monophosphate cyclohydrolase deficiency	C563876
aids arteritis, central nervous system	D020943
aids-associated nephropathy	D016263
aids dementia complex	D015526
aids-related complex	D000386
aids-related kaposi sarcoma	C554498
aids-related opportunistic infections	D017088
ainhum	D000387
airway remodeling	D056151
akaba hayasaka syndrome	C535609
akathisia, drug-induced	D017109
akesson syndrome	C535610
akinetic mutism	D000405
aksu von stockhausen syndrome	C535611
alacrima	C562827
alacrima, achalasia, and mental retardation syndrome	615510
alacrima, congenital	C566307
alagille syndrome	D016738
aland island eye disease	C562664
alaninuria with microcephaly, dwarfism, enamel hypoplasia, and diabetes mellitus	C565968
al awadi syndrome	C535612
alazami syndrome	615071
alazami-yuan syndrome	617126
albinism	D000417
albinism deafness syndrome	C537042
albinism, minimal pigment type	C537044
albinism, ocular	D016117
albinism ocular late onset sensorineural deafness	C537043
albinism, oculocutaneous	D016115
albinism, oculocutaneous, type i, temperature-sensitive	C564645
albinism, oculocutaneous, type vii	615179
albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells	C538539
albright's hereditary osteodystrophy	C537045
alcohol amnestic disorder	D000425
alcohol fetopathy	C576203
alcoholic intoxication	D000435
alcoholic korsakoff syndrome	D000076042
alcoholic neuropathy	D020269
alcohol-induced disorders	D020751
alcohol-induced disorders, nervous system	D020268
alcohol induced encephalopathy	C538669
alcohol-related disorders	D019973
alcohol sensitivity, acute	610251
alcohol withdrawal seizures	D020270
aldred syndrome	C537046
alert fatigue, health personnel	D000071064
aleutian mink disease	D000453
alexander disease	D038261
alexanders leukodystrophy	C531607
alexia, pure	D020237
al gazali aziz salem syndrome	C535613
al gazali hirschsprung syndrome	C535615
al gazali khidr prem chandran syndrome	C535616
al gazali sabrinathan nair syndrome	C535617
al-gazali syndrome	C536817
alice in wonderland syndrome	D062026
alien hand syndrome	D055964
aliivibrio infections	D059707
alkalosis, respiratory	D000472
alkaptonuria	D000474
alkaptonuric ochronosis	C531762
allan-herndon-dudley syndrome	C537047
allanson pantzar mcleod syndrome	C537048
allesthesia	D066190
aloi tomasini isaia syndrome	C537049
alopecia	D000505
alopecia, androgenetic, 2	C567473
alopecia, androgenetic, 3	C567317
alopecia areata 1	C566303
alopecia areata 2	C565186
alopecia congenita keratosis palmoplantaris	C537050
alopecia contractures dwarfism mental retardation	C537051
alopecia epilepsy oligophrenia syndrome of moynahan	C537052
alopecia, epilepsy, pyorrhea, mental subnormality	C537057
alopecia, familial focal	C566301
alopecia hypogonadism extrapyramidal disorder	C537053
alopecia-mental retardation syndrome 2	C563668
alopecia-mental retardation syndrome 3	613930
alopecia-mental retardation syndrome with convulsions and hypergonadotropic hypogonadism	C563370
alopecia, neurologic defects, and endocrinopathy syndrome	C567425
alopecia universalis	C537055
alopecia universalis congenita, xy gonadal dysgenesis, and laryngomalacia	C563920
alopecia universalis onychodystrophy vitiligo	C537056
alpha 1-antitrypsin deficiency	D019896
alpha-1-antitrypsin deficiency, autosomal recessive	C566273
alpha-2-deficient collagen disease	C565963
alpha-2-macroglobulin deficiency	C566304
alpha-b crystallinopathy	C563848
alpha-b crystallinopathy with cataract	C563849
alpha-beta t-cell lymphopenia with gamma-delta t-cell expansion, severe cytomegalovirus infection, and autoimmunity	C563691
alpha-fetoprotein deficiency	C566300
alpha-ketoglutarate dehydrogenase deficiency	C536582
alpha-mannosidosis	D008363
alpha-mannosidosis type 1	C536584
alpha-mannosidosis, type 2	C536585
alpha-mannosidosis, type ii	C565418
alpha-methylacyl-coa racemase deficiency	C565768
alpha-thalassemia	D017085
alpha-thalassemia mental retardation syndrome, deletion-type	C563050
alpha-thalassemia myelodysplasia syndrome	C563023
alphavirus infections	D018354
alport syndrome 1, x-linked	301050
alport syndrome, dominant type	C536586
alport syndrome-like hereditary nephritis	C562890
alport syndrome, mental retardation, midface hypoplasia, and elliptocytosis	C564570
alport syndrome, recessive type	C536587
al-raqad syndrome	616459
alsing syndrome	C536588
alstrom syndrome	D056769
alternariosis	D060487
alternating hemiplegia of childhood	C536589
altitude sickness	D000532
alveolar bone loss	D016301
alveolar capillary dysplasia	C536590
alveolar echinococcosis	C536591
alveolitis, extrinsic allergic	D000542
alves castelo dos santos syndrome	C536593
alzheimer disease 10	C566465
alzheimer disease 11	C565228
alzheimer disease 12	C567022
alzheimer disease 13	C567000
alzheimer disease 14	C566999
alzheimer disease 15	C566998
alzheimer disease 16	C567463
alzheimer disease 18	615590
alzheimer disease 19	615711
alzheimer disease 5	C566578
alzheimer disease 6	C565325
alzheimer disease 7	C565251
alzheimer disease 8	C564622
alzheimer disease 9	C563834
alzheimer disease, early-onset, with cerebral amyloid angiopathy	C566299
alzheimer disease, familial, 1	C566298
alzheimer disease, familial, 3, with spastic paraparesis and apraxia	C564330
alzheimer disease, familial, 3, with spastic paraparesis and unusual plaques	C564329
alzheimer disease, familial early-onset, with coexisting amyloid and prion pathology	C565728
alzheimer disease, familial, type 3	C536598
alzheimer disease type 1	C536594
alzheimer disease type 2	C536595
alzheimer disease type 4	C536596
alzheimer's disease without neurofibrillary tangles	C536599
amastia	C562989
amastia, bilateral, with ureteral triplication and dysmorphism	C566295
amaurosis congenita of leber, type 1	C536600
amaurosis congenita of leber, type 2	C536601
amaurosis congenita of leber, type 5	C536602
amaurosis congenita of leber, type 9	C536603
amaurosis fugax	D020757
amaurosis hypertrichosis	C536604
amblyopia	D000550
ambras syndrome	C536605
amebiasis	D000562
amelia and terminal transverse hemimelia	C566294
amelia, autosomal recessive	C563338
ameloblastoma	D000564
amelogenesis imperfecta	D000567
amelogenesis imperfecta hypomaturation type	C536606
amelogenesis imperfecta, hypomaturation type, iia1	C567146
amelogenesis imperfecta, hypomaturation type, iia2	C567279
amelogenesis imperfecta, hypomaturation type, iia3	C567706
amelogenesis imperfecta, hypomaturation type, iia4	614832
amelogenesis imperfecta, hypomaturation type, iia5	615887
amelogenesis imperfecta, hypomaturation type, iia6	617217
amelogenesis imperfecta, hypomaturation type, with snow-capped teeth	C564463
amelogenesis imperfecta, hypoplastic-hypomaturation, x-linked 1	C538243
amelogenesis imperfecta, hypoplastic/hypomaturation, x-linked 2	301201
amelogenesis imperfecta local hypoplastic form	C538240
amelogenesis imperfecta nephrocalcinosis	C538241
amelogenesis imperfecta pigmented hypomaturation type	C538242
amelogenesis imperfecta, type ib	C562879
amelogenesis imperfecta, type ic	C567147
amelogenesis imperfecta, type if	616270
